OservableProperty	InDbName	VariableSet	Unit	DataType	xsd:date	DATE
ABONDANCE	Abundance	Weed	No unit	xsd:string	xsd:date	DATE
APHID_COLONIES	AphidColonies	PlantPhenotype	No unit		xsd:date	DATE_DRY_SEEDS
BIOMASS_CROP	BiomassCrop	Biomass	unit:g	xsd:float	xsd:date	DATE_FRESH_SEEDS
BIOMASS_WEED	BiomassWeed	Biomass	unit:g	xsd:float	xsd:string	OPERATOR
C/N	CNRatio	SoilBiochemistry	No unit	xsd:float	xsd:string	WEED_SPECIES
CALCIUM	Calcium	SoilBiochemistry	unit:cmol.kg	xsd:float		
CARBON	Carbon	SoilBiochemistry	unit:g.kg-1	xsd:float	DATE	No unit
CEC	CationExchangeCapacity	SoilBiochemistry	unit:cmol.kg-1	xsd:float	DATE	No unit
CLAY	Clay	SoilBiochemistry	unit:%5Bppth%5D	xsd:integer	DATE_DRY_SEEDS	No unit
COARSE_SAND	CoarseSand	SoilBiochemistry	unit:%5Bppth%5D	xsd:integer	DATE_FRESH_SEEDS	No unit
COARSE_SILT	CoarseSilt	SoilBiochemistry	unit:%5Bppth%5D	xsd:integer	OPERATOR	No unit
CONDUCTIVITY	Conductivity	SoilBiochemistry	unit:mS.cm-1	xsd:float		
COPPER	Copper	SoilBiochemistry	unit:mg.kg-1	xsd:float		
DENSITY_CLASS	DensityClass	Weed	No unit	xsd:string		
dli_q	dli_q	Climatic	unit:J.cm-2	xsd:float		
DRY_WEIGHT_1000_SEEDS	DryWeight1000Seeds	Yield	unit:g	xsd:float		
etp_q	etp_q	Climatic	unit:mm	xsd:float		
evap_q	evap_q	Climatic	unit:mm	xsd:float		
ff_q	ff_q	Climatic	unit:m.s-1	xsd:float		
FINE_SAND	FineSand	SoilBiochemistry	unit:%5Bppth%5D	xsd:integer		
FINE_SILT	FineSilt	SoilBiochemistry	unit:%5Bppth%5D	xsd:integer		
FRESH_WEIGHT_1000_SEEDS	FreshWeight1000Seeds	Yield	unit:g	xsd:float		
GENERAL_STATE	GeneralState	PlantPhenotype	No unit	xsd:string		
hu_q	hu_q	Climatic	unit:%25	xsd:float		
IRON	Iron	SoilBiochemistry	unit:mg.kg-1	xsd:float		
LIME	Lime	SoilBiochemistry	unit:mg.kg-1	xsd:float		
LIMESTONE_ACTIVE	LimestoneActive	SoilBiochemistry	unit:g.kg-1	xsd:integer		
LIMESTONE_TOTAL	LimestoneTotal	SoilBiochemistry	unit:g.kg-1	xsd:integer		
MAGNESIA	Magnesia	SoilBiochemistry	unit:mg.kg-1	xsd:float		
MAGNESIUM	Magnesium	SoilBiochemistry	unit:cmol.kg	xsd:float		
MAIN_THALLUS_HEIGHT	MainThallusHeight	PlantPhenotype	unit:cm	xsd:float		
MANGANESE	Manganese	SoilBiochemistry	unit:mg.kg-1	xsd:float		
MORE_ONE_METER	MoreThanOneMeterSampling	Biomass	No unit			
N_SPOTS_PARASITIC_FUNGI	NumberOfFungalParasiticSpots	PlantPhenotype	No unit	xsd:integer		
NB_ONE_METER	PlantsOnOneMeter	Biomass	No unit	xsd:integer		
NB_RANKS	NumberOfRanks	Biomass	No unit	xsd:integer		
NB_UNITS	NumberOfUnits	Biomass	No unit	xsd:integer		
NITROGEN_TOTAL	NitrogenTotal	SoilBiochemistry	unit:g.kg-1	xsd:float		
NUMBER_OF_LIVING_LEAVES	NumberOfLivingLeaves	PlantPhenotype	No unit	xsd:integer		
NUMBER_OF_STEMS	NumberOfStems	PlantPhenotype	No unit	xsd:integer		
NUMBER_OF_THALLUS_PER_PLANT	ThallusPerPlant	PlantPhenotype	No unit	xsd:integer		
ORGANIC_MATTER	OrganicMatter	SoilBiochemistry	unit:g.kg-1	xsd:float		
OVERALL_FOLIAR_PARASITISM	OverallFoliarParasitism	PlantPhenotype	No unit	xsd:string		
OVERALL_FOLIAR_PHYTOPHAGY	OverallFoliarPhytophagy	PlantPhenotype	No unit	xsd:string		
pe_q	pe_q	Climatic	unit:mm	xsd:float		
PEST_DENSITY	PestDensity	PlantPhenotype	No unit	xsd:string		
PH	PH	SoilBiochemistry	No unit	xsd:float		
PHENOLOGY_STAGE	PhenologyStage	PlantPhenotype	No unit	xsd:string		
PHOSPHATE	Phosphate	SoilBiochemistry	unit:mg.kg-1	xsd:float		
PLANT	SampledPlant	PlantPhenotype	No unit	xsd:string		
PLANT_DENSITY	PlantDensity	PlantPhenotype	No unit	xsd:integer		
PLANT_DEVELOPMENT_STAGE	PlantDevelopmentStage	PlantPhenotype	No unit	xsd:string		
