Name	InDbName	ConstraintOf	AltURI	DataType
RO	Root	Abundance	obo:PO_0009005	nan
RS	Rhizosphere	Abundance	obo:ENVO_00005801	nan
LF	Leaf	Abundance	obo:PO_0025034	nan
LAB_SAMPLED	LabSampled	SpeciesPresence	nan	xsd:string
FIELD_SAMPLED	FieldSampled	SpeciesPresence	nan	xsd:string
A	PlantDevStageA	WeedspeciesDensityClass	obo:PO_0007033	xsd:string
B	PlantDevStageB	WeedspeciesDensityClass	obo:PO_0007033	xsd:string
C	PlantDevStageC	WeedspeciesDensityClass	obo:PO_0007033	xsd:string
D	PlantDevStageD	WeedspeciesDensityClass	obo:PO_0007033	xsd:string
E	PlantDevStageE	WeedspeciesDensityClass	obo:PO_0007033	xsd:string
