Name	InDbName	AltURI	iop:Property	iop:Constraint	Unit	DataType
APHID_COLONIES	AphidColonies		PhenotypicTrait	FieldSampled		xsd:integer
GENERAL_STATE	FieldGeneralState		PhenotypicTrait	FieldSampled		xsd:string
MAIN_THALLUS_HEIGHT	MainThallusHeight		PhenotypicTrait	LabSampled	unit:cm	xsd:float
N_SPOTS_PARASITIC_FUNGI	NumberOfFungalParasiticSpots		PhenotypicTrait	LabSampled		xsd:integer
NUMBER_OF_LIVING_LEAVES	NumberOfLivingLeaves	obo:TO_0000241	PhenotypicTrait	LabSampled		xsd:integer
NUMBER_OF_STEMS	NumberOfStems	obo:TO_0000953	PhenotypicTrait	LabSampled		xsd:integer
NUMBER_OF_THALLUS_PER_PLANT	ThallusPerPlant		PhenotypicTrait	FieldSampled,LabSampled		xsd:integer
OVERALL_FOLIAR_PARASITISM	OverallFoliarParasitism		PhenotypicTrait	FieldSampled,LabSampled		xsd:string
OVERALL_FOLIAR_PHYTOPHAGY	OverallFoliarPhytophagy		PhenotypicTrait	FieldSampled,LabSampled		xsd:string
PEST_DENSITY	PestDensity		PhenotypicTrait	FieldSampled		xsd:string
PLANT_DEVELOPMENT_STAGE	PlantDevelopmentStage	obo:PO_0007033	PhenotypicTrait	LabSampled,LabSampled		xsd:string
PLANT_HEIGHT	PlantHeight	obo:TO_0000207	PhenotypicTrait	LabSampled	unit:cm	xsd:float
ROOT_DAMAGES	RootDamages		PhenotypicTrait	LabSampled		xsd:boolean
SLUG_CHEWING_INSECTS	SlugChewingInsects	bago:PestAnimal	PhenotypicTrait	FieldSampled,LabSampled		xsd:boolean
UNDEFINED_FOLIAR_PARASITISM	UndefinedFoliarParasitism		PhenotypicTrait	FieldSampled		xsd:boolean
UNDEFINED_FOLIAR_PHYTOPHAGY	UndefinedFoliarPhytophagy		PhenotypicTrait	FieldSampled		xsd:boolean
ALTERNARIA_BRASSICAE	AlternariaBrassicae	obo:NCBITaxon_29911,bago:FungalPathogenOrganism	SpeciesPresence	FieldSampled,LabSampled		xsd:boolean
BLUMERIA_GRAMINIS	BlumeriaGraminis	obo:NCBITaxon_34373,bago:FungalPathogenOrganism	SpeciesPresence	FieldSampled,LabSampled		xsd:boolean
BREVICORYNE_BRASSICAE	BrevicoryneBrassicae	obo:NCBITaxon_69196,bago:PestAnimal	SpeciesPresence	FieldSampled,LabSampled		xsd:boolean
DELIA_RADICUM	DeliaRadicum	obo:NCBITaxon_30064,bago:PestAnimal	SpeciesPresence	LabSampled		xsd:boolean
ERYSIPHE_CRUCIFERUM	ErysipheCruciferarum	obo:NCBITaxon_69478,bago:FungalPathogenOrganism	SpeciesPresence	FieldSampled,LabSampled		xsd:boolean
GAEUMANNOMYCES_GRAMINIS	GaeumannomycesGraminis	obo:NCBITaxon_29850,bago:FungalPathogenOrganism	SpeciesPresence	LabSampled		xsd:boolean
