Name	InDbName	InDbType	AltURI	sosa:isSampleOf
AF001-PA-P1-field	AF001-PA-P1-field	SampledPlant	obo:PO_0000003	AF001-PA
AF001-PA-P2-field	AF001-PA-P2-field	SampledPlant	obo:PO_0000003	AF001-PA
AF001-PA-P3-field	AF001-PA-P3-field	SampledPlant	obo:PO_0000003	AF001-PA
AF001-PA-P4-field	AF001-PA-P4-field	SampledPlant	obo:PO_0000003	AF001-PA
AF001-PA-P5-field	AF001-PA-P5-field	SampledPlant	obo:PO_0000003	AF001-PA
AF001-PB-P1-field	AF001-PB-P1-field	SampledPlant	obo:PO_0000003	AF001-PB
AF001-PB-P2-field	AF001-PB-P2-field	SampledPlant	obo:PO_0000003	AF001-PB
AF001-PB-P3-field	AF001-PB-P3-field	SampledPlant	obo:PO_0000003	AF001-PB
AF001-PB-P4-field	AF001-PB-P4-field	SampledPlant	obo:PO_0000003	AF001-PB
AF001-PB-P5-field	AF001-PB-P5-field	SampledPlant	obo:PO_0000003	AF001-PB
AF001-PC-P1-field	AF001-PC-P1-field	SampledPlant	obo:PO_0000003	AF001-PC
AF001-PC-P2-field	AF001-PC-P2-field	SampledPlant	obo:PO_0000003	AF001-PC
AF001-PC-P3-field	AF001-PC-P3-field	SampledPlant	obo:PO_0000003	AF001-PC
AF001-PC-P4-field	AF001-PC-P4-field	SampledPlant	obo:PO_0000003	AF001-PC
AF001-PC-P5-field	AF001-PC-P5-field	SampledPlant	obo:PO_0000003	AF001-PC
AF001-PD-P1-field	AF001-PD-P1-field	SampledPlant	obo:PO_0000003	AF001-PD
AF001-PD-P2-field	AF001-PD-P2-field	SampledPlant	obo:PO_0000003	AF001-PD
AF001-PD-P3-field	AF001-PD-P3-field	SampledPlant	obo:PO_0000003	AF001-PD
AF001-PD-P4-field	AF001-PD-P4-field	SampledPlant	obo:PO_0000003	AF001-PD
AF001-PD-P5-field	AF001-PD-P5-field	SampledPlant	obo:PO_0000003	AF001-PD
AF002-PA-P1-field	AF002-PA-P1-field	SampledPlant	obo:PO_0000003	AF002-PA
AF002-PA-P2-field	AF002-PA-P2-field	SampledPlant	obo:PO_0000003	AF002-PA
AF002-PA-P3-field	AF002-PA-P3-field	SampledPlant	obo:PO_0000003	AF002-PA
AF002-PA-P4-field	AF002-PA-P4-field	SampledPlant	obo:PO_0000003	AF002-PA
AF002-PA-P5-field	AF002-PA-P5-field	SampledPlant	obo:PO_0000003	AF002-PA
AF002-PB-P1-field	AF002-PB-P1-field	SampledPlant	obo:PO_0000003	AF002-PB
AF002-PB-P2-field	AF002-PB-P2-field	SampledPlant	obo:PO_0000003	AF002-PB
AF002-PB-P3-field	AF002-PB-P3-field	SampledPlant	obo:PO_0000003	AF002-PB
AF002-PB-P4-field	AF002-PB-P4-field	SampledPlant	obo:PO_0000003	AF002-PB
AF002-PB-P5-field	AF002-PB-P5-field	SampledPlant	obo:PO_0000003	AF002-PB
AF002-PC-P1-field	AF002-PC-P1-field	SampledPlant	obo:PO_0000003	AF002-PC
AF002-PC-P2-field	AF002-PC-P2-field	SampledPlant	obo:PO_0000003	AF002-PC
AF002-PC-P3-field	AF002-PC-P3-field	SampledPlant	obo:PO_0000003	AF002-PC
AF002-PC-P4-field	AF002-PC-P4-field	SampledPlant	obo:PO_0000003	AF002-PC
AF002-PC-P5-field	AF002-PC-P5-field	SampledPlant	obo:PO_0000003	AF002-PC
AF002-PD-P1-field	AF002-PD-P1-field	SampledPlant	obo:PO_0000003	AF002-PD
AF002-PD-P2-field	AF002-PD-P2-field	SampledPlant	obo:PO_0000003	AF002-PD
AF002-PD-P3-field	AF002-PD-P3-field	SampledPlant	obo:PO_0000003	AF002-PD
AF002-PD-P4-field	AF002-PD-P4-field	SampledPlant	obo:PO_0000003	AF002-PD
AF002-PD-P5-field	AF002-PD-P5-field	SampledPlant	obo:PO_0000003	AF002-PD
AF003-PA-P1-field	AF003-PA-P1-field	SampledPlant	obo:PO_0000003	AF003-PA
AF003-PA-P2-field	AF003-PA-P2-field	SampledPlant	obo:PO_0000003	AF003-PA
AF003-PA-P3-field	AF003-PA-P3-field	SampledPlant	obo:PO_0000003	AF003-PA
AF003-PA-P4-field	AF003-PA-P4-field	SampledPlant	obo:PO_0000003	AF003-PA
AF003-PA-P5-field	AF003-PA-P5-field	SampledPlant	obo:PO_0000003	AF003-PA
AF003-PB-P1-field	AF003-PB-P1-field	SampledPlant	obo:PO_0000003	AF003-PB
AF003-PB-P2-field	AF003-PB-P2-field	SampledPlant	obo:PO_0000003	AF003-PB
AF003-PB-P3-field	AF003-PB-P3-field	SampledPlant	obo:PO_0000003	AF003-PB
AF003-PB-P4-field	AF003-PB-P4-field	SampledPlant	obo:PO_0000003	AF003-PB
AF003-PB-P5-field	AF003-PB-P5-field	SampledPlant	obo:PO_0000003	AF003-PB
AF003-PC-P1-field	AF003-PC-P1-field	SampledPlant	obo:PO_0000003	AF003-PC
AF003-PC-P2-field	AF003-PC-P2-field	SampledPlant	obo:PO_0000003	AF003-PC
AF003-PC-P3-field	AF003-PC-P3-field	SampledPlant	obo:PO_0000003	AF003-PC
AF003-PC-P4-field	AF003-PC-P4-field	SampledPlant	obo:PO_0000003	AF003-PC
AF003-PC-P5-field	AF003-PC-P5-field	SampledPlant	obo:PO_0000003	AF003-PC
AF003-PD-P1-field	AF003-PD-P1-field	SampledPlant	obo:PO_0000003	AF003-PD
AF003-PD-P2-field	AF003-PD-P2-field	SampledPlant	obo:PO_0000003	AF003-PD
AF003-PD-P3-field	AF003-PD-P3-field	SampledPlant	obo:PO_0000003	AF003-PD
AF003-PD-P4-field	AF003-PD-P4-field	SampledPlant	obo:PO_0000003	AF003-PD
AF003-PD-P5-field	AF003-PD-P5-field	SampledPlant	obo:PO_0000003	AF003-PD
AF004-PA-P1-field	AF004-PA-P1-field	SampledPlant	obo:PO_0000003	AF004-PA
AF004-PA-P2-field	AF004-PA-P2-field	SampledPlant	obo:PO_0000003	AF004-PA
AF004-PA-P3-field	AF004-PA-P3-field	SampledPlant	obo:PO_0000003	AF004-PA
AF004-PA-P4-field	AF004-PA-P4-field	SampledPlant	obo:PO_0000003	AF004-PA
AF004-PA-P5-field	AF004-PA-P5-field	SampledPlant	obo:PO_0000003	AF004-PA
AF004-PB-P1-field	AF004-PB-P1-field	SampledPlant	obo:PO_0000003	AF004-PB
AF004-PB-P2-field	AF004-PB-P2-field	SampledPlant	obo:PO_0000003	AF004-PB
AF004-PB-P3-field	AF004-PB-P3-field	SampledPlant	obo:PO_0000003	AF004-PB
AF004-PB-P4-field	AF004-PB-P4-field	SampledPlant	obo:PO_0000003	AF004-PB
AF004-PB-P5-field	AF004-PB-P5-field	SampledPlant	obo:PO_0000003	AF004-PB
AF004-PC-P1-field	AF004-PC-P1-field	SampledPlant	obo:PO_0000003	AF004-PC
AF004-PC-P2-field	AF004-PC-P2-field	SampledPlant	obo:PO_0000003	AF004-PC
AF004-PC-P3-field	AF004-PC-P3-field	SampledPlant	obo:PO_0000003	AF004-PC
AF004-PC-P4-field	AF004-PC-P4-field	SampledPlant	obo:PO_0000003	AF004-PC
AF004-PC-P5-field	AF004-PC-P5-field	SampledPlant	obo:PO_0000003	AF004-PC
AF004-PD-P1-field	AF004-PD-P1-field	SampledPlant	obo:PO_0000003	AF004-PD
AF004-PD-P2-field	AF004-PD-P2-field	SampledPlant	obo:PO_0000003	AF004-PD
AF004-PD-P3-field	AF004-PD-P3-field	SampledPlant	obo:PO_0000003	AF004-PD
AF004-PD-P4-field	AF004-PD-P4-field	SampledPlant	obo:PO_0000003	AF004-PD
AF004-PD-P5-field	AF004-PD-P5-field	SampledPlant	obo:PO_0000003	AF004-PD
AF005-PA-P1-field	AF005-PA-P1-field	SampledPlant	obo:PO_0000003	AF005-PA
AF005-PA-P2-field	AF005-PA-P2-field	SampledPlant	obo:PO_0000003	AF005-PA
AF005-PA-P3-field	AF005-PA-P3-field	SampledPlant	obo:PO_0000003	AF005-PA
AF005-PA-P4-field	AF005-PA-P4-field	SampledPlant	obo:PO_0000003	AF005-PA
AF005-PA-P5-field	AF005-PA-P5-field	SampledPlant	obo:PO_0000003	AF005-PA
AF005-PB-P1-field	AF005-PB-P1-field	SampledPlant	obo:PO_0000003	AF005-PB
AF005-PB-P2-field	AF005-PB-P2-field	SampledPlant	obo:PO_0000003	AF005-PB
AF005-PB-P3-field	AF005-PB-P3-field	SampledPlant	obo:PO_0000003	AF005-PB
AF005-PB-P4-field	AF005-PB-P4-field	SampledPlant	obo:PO_0000003	AF005-PB
AF005-PB-P5-field	AF005-PB-P5-field	SampledPlant	obo:PO_0000003	AF005-PB
AF005-PC-P1-field	AF005-PC-P1-field	SampledPlant	obo:PO_0000003	AF005-PC
AF005-PC-P2-field	AF005-PC-P2-field	SampledPlant	obo:PO_0000003	AF005-PC
AF005-PC-P3-field	AF005-PC-P3-field	SampledPlant	obo:PO_0000003	AF005-PC
AF005-PC-P4-field	AF005-PC-P4-field	SampledPlant	obo:PO_0000003	AF005-PC
AF005-PC-P5-field	AF005-PC-P5-field	SampledPlant	obo:PO_0000003	AF005-PC
AF005-PD-P1-field	AF005-PD-P1-field	SampledPlant	obo:PO_0000003	AF005-PD
AF005-PD-P2-field	AF005-PD-P2-field	SampledPlant	obo:PO_0000003	AF005-PD
AF005-PD-P3-field	AF005-PD-P3-field	SampledPlant	obo:PO_0000003	AF005-PD
AF005-PD-P4-field	AF005-PD-P4-field	SampledPlant	obo:PO_0000003	AF005-PD
AF005-PD-P5-field	AF005-PD-P5-field	SampledPlant	obo:PO_0000003	AF005-PD
AF006-PA-P1-field	AF006-PA-P1-field	SampledPlant	obo:PO_0000003	AF006-PA
AF006-PA-P2-field	AF006-PA-P2-field	SampledPlant	obo:PO_0000003	AF006-PA
AF006-PA-P3-field	AF006-PA-P3-field	SampledPlant	obo:PO_0000003	AF006-PA
