Name	InDbName	AltURI	Set	Unit	DataType
ABONDANCE	Abundance		Weed		xsd:string
APHID_COLONIES	AphidColonies		PlantPhenotype		xsd:integer
BIOMASS_CROP	BiomassCrop	obo:TO_0000352	Biomass	unit:g	xsd:float
BIOMASS_WEED	BiomassWeed	obo:TO_0000352	Biomass	unit:g	xsd:float
C/N	CNRatio	obo:AGRO_00000452	SoilBiochemistry		xsd:float
CALCIUM	Calcium	obo:CHEBI_22985	SoilBiochemistry	unit:cmol.kg	xsd:float
CARBON	Carbon	obo:CHEBI_33582	SoilBiochemistry	unit:g.kg-1	xsd:float
CEC	CationExchangeCapacity	obo:ENVO_06105240	SoilBiochemistry	unit:cmol.kg-1	xsd:float
CLAY	Clay	obo:ENVO_00002982	SoilBiochemistry	unit:%5Bppth%5D	xsd:integer
COARSE_SAND	CoarseSand		SoilBiochemistry	unit:%5Bppth%5D	xsd:integer
COARSE_SILT	CoarseSilt		SoilBiochemistry	unit:%5Bppth%5D	xsd:integer
CONDUCTIVITY	Conductivity	obo:ENVO_09200016	SoilBiochemistry	unit:mS.cm-1	xsd:float
COPPER	Copper	obo:CHEBI_23377	SoilBiochemistry	unit:mg.kg-1	xsd:float
DENSITY_CLASS	DensityClass		Weed		xsd:string
dli_q	dli_q		Climatic	unit:J.cm-2	xsd:float
DRY_WEIGHT	DryWeight	obo:TO_0000352	Yields	unit:g	xsd:float
DRY_WEIGHT_1000_SEEDS	DryWeight1000Seeds	obo:TO_0003019	Yields	unit:g	xsd:float
etp_q	etp_q		Climatic	unit:mm	xsd:float
evap_q	evap_q		Climatic	unit:mm	xsd:float
ff_q	ff_q		Climatic	unit:m.s-1	xsd:float
FINE_SAND	FineSand	obo:ENVO_06105273	SoilBiochemistry	unit:%5Bppth%5D	xsd:integer
FINE_SILT	FineSilt		SoilBiochemistry	unit:%5Bppth%5D	xsd:integer
FRESH_WEIGHT_1000_SEEDS	FreshWeight1000Seeds	obo:TO_0003018	Yields	unit:g	xsd:float
GENERAL_STATE	GeneralState		PlantPhenotype		xsd:string
GLUCOSINOLATE	SeedGlucosinolate		Nirs		xsd:float
hu_q	hu_q		Climatic	unit:%25	xsd:float
IRON	Iron	obo:CHEBI_24873	SoilBiochemistry	unit:mg.kg-1	xsd:float
LIME	Lime		SoilBiochemistry	unit:mg.kg-1	xsd:float
LIMESTONE_ACTIVE	LimestoneActive		SoilBiochemistry	unit:g.kg-1	xsd:integer
LIMESTONE_TOTAL	LimestoneTotal	obo:ENVO_00002053	SoilBiochemistry	unit:g.kg-1	xsd:integer
MAGNESIA	Magnesia	obo:CHEBI_31794	SoilBiochemistry	unit:mg.kg-1	xsd:float
MAGNESIUM	Magnesium	obo:CHEBI_25108	SoilBiochemistry	unit:cmol.kg	xsd:float
MAIN_THALLUS_HEIGHT	MainThallusHeight		PlantPhenotype	unit:cm	xsd:float
MANGANESE	Manganese	obo:CHEBI_25154	SoilBiochemistry	unit:mg.kg-1	xsd:float
MOISTURE	SeedMoisture		Nirs		xsd:float
MORE_ONE_METER	MoreThanOneMeterSampling		Biomass		xsd:boolean
N_SPOTS_PARASITIC_FUNGI	NumberOfFungalParasiticSpots		PlantPhenotype		xsd:integer
NB_ONE_METER	PlantsOnOneMeter		Biomass		xsd:integer
NB_RANKS	NumberOfRanks		Biomass		xsd:integer
NB_UNITS	NumberOfUnits		Biomass		xsd:integer
NITROGEN_TOTAL	NitrogenTotal	obo:CHEBI_51143	SoilBiochemistry	unit:g.kg-1	xsd:float
NUMBER_OF_LIVING_LEAVES	NumberOfLivingLeaves	obo:TO_0000241	PlantPhenotype		xsd:integer
NUMBER_OF_STEMS	NumberOfStems	obo:TO_0000953	PlantPhenotype		xsd:integer
NUMBER_OF_THALLUS_PER_PLANT	ThallusPerPlant		PlantPhenotype		xsd:integer
OIL	SeedOil		Nirs		xsd:float
ORGANIC_MATTER	OrganicMatter	obo:ENVO_04000008	SoilBiochemistry	unit:g.kg-1	xsd:float
OVERALL_FOLIAR_PARASITISM	OverallFoliarParasitism		PlantPhenotype		xsd:string
OVERALL_FOLIAR_PHYTOPHAGY	OverallFoliarPhytophagy		PlantPhenotype		xsd:string
pe_q	pe_q		Climatic	unit:mm	xsd:float
PEST_DENSITY	PestDensity		PlantPhenotype		xsd:string
