SampledField	locatedIn@Region	locatedIn@Safran
AF001	West	2762
AF002	West	2501
AF003	West	2503
AF004	West	2885
AF005	West	3271
AF006	West	3400
AF007	West	2890
AF008	West	2895
AF009	West	2639
AF010	West	2379
AF011	West	2256
AF012	West	4970
AF013	West	4156
AF014	West	4039
AF015	West	4158
AF016	East	4778
AF017	East	4198
AF018	East	2196
AF019	East	2440
AF020	East	2823
AF021	East	3850
AF022	East	3599
AF023	East	3599
AF024	East	4085
AF025	East	4085
AF026	East	4086
AF027	East	4085
AF028	East	4314
AF029	East	4314
AF030	East	4314
AF031	South	8481
AF032	South	8481
AF033	South	8481
AF034	South	9166
AF035	South	9005
AF036	South	8918
AF037	South	8918
AF038	South	9325
AF039	South	9325
AF040	South	9257
AF041	South	9180
AF042	South	8919
AF043	South	8919
AF044	South	8919
AF045	South	8918
AF046	South	8918
AF047	South	9177
AF048	South	9177
AF100	East	4314
AF101	East	4198
AF102	East	4778
AF103	East	3828
AF104	East	3828
AF105	East	2196
AF106	East	2440
AF107	East	2439
AF108	East	2823
AF109	East	2955
AF110	East	3972
AF111	East	3599
AF112	East	3600
AF113	East	3599
AF114	East	4086
AF115	East	4085
AF116	East	4085
AF117	East	4202
AF118	South	9100
AF119	South	9100
AF120	South	8918
AF121	South	9007
AF122	South	8481
AF123	South	8481
AF124	South	8481
AF125	South	8481
AF126	South	8481
AF127	South	9259
AF128	South	9259
AF129	South	9177
AF130	South	9177
AF131	South	9100
AF132	West	3398
AF133	West	2634
AF134	West	2762
AF135	West	2764
AF136	West	2639
AF137	West	3400
AF138	West	2885
AF139	West	2629
AF140	West	2502
AF141	West	3154
AF142	West	2890
AF143	West	3023
AF144	West	2379
AF145	West	2379
AF146	West	2255
AF147	West	2255
AF148	West	2256
AF149	West	4156
AF150	West	4157
AF151	West	4039
AF049	West	2760
AF050	West	2503
AF051	West	2501
AF052	West	2764
AF053	West	2379
AF054	West	2639
AF055	West	2256
AF056	West	2890
AF057	West	3400
AF058	West	2885
AF059	West	2629
AF060	West	4157
AF061	West	4039
AF062	West	4156
AF063	West	4970
AF064	East	3828
AF065	East	4198
AF066	East	2318
AF067	East	2440
AF068	East	2823
AF069	East	3972
AF070	East	3599
AF071	East	3599
AF072	East	4085
AF073	East	4085
AF074	East	4085
AF075	East	4202
AF076	East	4314
AF077	East	4314
AF078	East	4314
AF080	South	8916
AF081	South	8916
AF082	South	8481
AF083	South	9005
AF084	South	9090
AF085	South	9097
AF086	South	9097
AF087	South	9010
AF088	South	9013
AF089	South	9177
AF090	South	8919
AF091	South	8919
AF092	South	8919
AF093	South	8572
AF094	South	8572
AF095	South	8572
AF096	South	8572
AF097	South	8572
AF098	South	8572
AF099	South	2762
AF152	East	4314
AF153	East	4778
AF154	East	4085
AF155	East	4085
AF156	East	4085
AF157	East	4085
AF158	East	3972
AF159	East	3599
AF160	East	3599
AF161	East	3600
AF162	East	3828
AF163	East	3828
AF164	East	3827
AF165	East	2823
AF166	East	2823
AF167	East	2439
AF168	East	2440
AF169	East	9097
AF170	South	8916
AF171	South	9005
AF172	South	9090
AF173	South	9004
AF174	South	8918
AF175	South	9097
AF176	South	9097
AF177	South	9177
AF178	South	9013
AF179	South	8481
AF180	South	8481
AF181	South	8481
AF182	South	8481
AF183	South	8118
AF184	West	2634
AF185	West	2634
AF186	West	2894
AF187	West	2639
AF188	West	3154
AF189	West	3023
AF190	West	3022
AF191	West	2502
AF192	West	2379
AF193	West	2256
AF194	West	2255
AF195	West	3400
AF196	West	2885
AF197	West	2629
AF198	West	4158
AF199	West	4156
AF200	West	4039
AF201	East	4314
