Variable	inVariableSet@VariableSet
Abundance	Weed
AphidColonies	PlantPhenotype
BiomassCrop	Biomass
BiomassWeed	Biomass
CNRatio	SoilBiochemistry
Calcium	SoilBiochemistry
Carbon	SoilBiochemistry
CationExchangeCapacity	SoilBiochemistry
Clay	SoilBiochemistry
CoarseSand	SoilBiochemistry
CoarseSilt	SoilBiochemistry
Conductivity	SoilBiochemistry
Copper	SoilBiochemistry
DensityClass	Weed
dli_q	Climatic
DryWeight	Yields
DryWeight1000Seeds	Yields
etp_q	Climatic
evap_q	Climatic
ff_q	Climatic
FineSand	SoilBiochemistry
FineSilt	SoilBiochemistry
FreshWeight1000Seeds	Yields
GeneralState	PlantPhenotype
SeedGlucosinolate	Nirs
hu_q	Climatic
Iron	SoilBiochemistry
Lime	SoilBiochemistry
LimestoneActive	SoilBiochemistry
LimestoneTotal	SoilBiochemistry
Magnesia	SoilBiochemistry
Magnesium	SoilBiochemistry
MainThallusHeight	PlantPhenotype
Manganese	SoilBiochemistry
SeedMoisture	Nirs
MoreThanOneMeterSampling	Biomass
NumberOfFungalParasiticSpots	PlantPhenotype
PlantsOnOneMeter	Biomass
NumberOfRanks	Biomass
NumberOfUnits	Biomass
NitrogenTotal	SoilBiochemistry
NumberOfLivingLeaves	PlantPhenotype
NumberOfStems	PlantPhenotype
ThallusPerPlant	PlantPhenotype
SeedOil	Nirs
OrganicMatter	SoilBiochemistry
OverallFoliarParasitism	PlantPhenotype
OverallFoliarPhytophagy	PlantPhenotype
pe_q	Climatic
PestDensity	PlantPhenotype
PH	SoilBiochemistry
Phosphate	SoilBiochemistry
SampledPlant	PlantPhenotype
PlantDensity	PlantPhenotype
PlantDevelopmentStage	PlantPhenotype
PlantHeight	PlantPhenotype
Potash	SoilBiochemistry
Potassium	SoilBiochemistry
preliq_q	Climatic
prenei_q	Climatic
SeedProteins	Nirs
q_q	Climatic
RootDamages	PlantPhenotype
NumberOfRanks	Biomass
SlugChewingInsects	PlantPhenotype
Sodium	SoilBiochemistry
SodiumOxide	SoilBiochemistry
ssi_q	Climatic
swi_q	Climatic
t_q	Climatic
tinf_h_q	Climatic
tsup_h_q	Climatic
WaterHoldingCapacity	SoilBiochemistry
WeightTotal	Yields
wg_racine_q	Climatic
wgi_racine_q	Climatic
Zinc	SoilBiochemistry
L	Nirs
P	Nirs
P_L	Nirs
W	Nirs
AlternariaBrassicae	BioagressorPresence
BlumeriaGraminis	BioagressorPresence
BrevicoryneBrassicae	BioagressorPresence
DeliaRadicum	BioagressorPresence
ErysipheCruciferarum	BioagressorPresence
GaeumannomycesGraminis	BioagressorPresence
PlenodomusBiglobosus	BioagressorPresence
PlenodomusLingam	BioagressorPresence
NeopseudocercosporellaBrassicae	BioagressorPresence
ZymoseptoriaTritici 	BioagressorPresence
MyzusPersicae	BioagressorPresence
OulemaMelanopus	BioagressorPresence
PlasmodiophoraBrassicae	BioagressorPresence
PseudocercosporellaCapsellae	BioagressorPresence
PsylliodesChrysocephalus	BioagressorPresence
PucciniaRecondita	BioagressorPresence
PucciniaStriiformis	BioagressorPresence
PyrenopezizaBrassicae	BioagressorPresence
ScaptomyzaFlava	BioagressorPresence
TapesiaYallundaeOrRhizoctoniaSolaniOrFusarium	BioagressorPresence
UndefinedFoliarPhytophagy	BioagressorPresence
UndefinedFoliarParasitism	BioagressorPresence
